Dates (mois d'aout);Vent km/h ;Vagues m 
16/08/2022 00:00;13;0.3
16/08/2022 06:00;7;0.5
16/08/2022 12:00;2;0.2
16/08/2022 18:00;8;0.1
17/08/2022 00:00;18;0.2
17/08/2022 06:00;6;0.3
17/08/2022 12:00;9;0.3
17/08/2022 18:00;13;0.3
18/08/2022 00:00;7;0.3
18/08/2022 06:00;2;0.4
18/08/2022 12:00;2;0.5
18/08/2022 18:00;4;0.5
19/08/2022 00:00;14;0.6
19/08/2022 06:00;11;0.6
19/08/2022 12:00;10;0.5
19/08/2022 18:00;12;0.9
20/08/2022 00:00;8;0.4
20/08/2022 06:00;8;0.5
20/08/2022 12:00;12;0.5
20/08/2022 18:00;10;0.8
21/08/2022 00:00;9;0.7
21/08/2022 06:00;10;0.5
21/08/2022 12:00;10;0.4
21/08/2022 18:00;2;0.2
22/08/2022 00:00;6;0.1
22/08/2022 06:00;6;0.1
22/08/2022 12:00;9;0.1
22/08/2022 18:00;7;0.1
23/08/2022 00:00;5;0.1
23/08/2022 06:00;7;0.1
23/08/2022 12:00;10;0.4
23/08/2022 18:00;8;0.3
24/08/2022 00:00;7;0.3
24/08/2022 06:00;4;0.1
24/08/2022 12:00;5;0.1
24/08/2022 18:00;7;0.3
25/08/2022 00:00;9;0.2
25/08/2022 06:00;7;0.1
25/08/2022 12:00;16;0.4
25/08/2022 18:00;11;0.6
26/08/2022 00:00;10;0.5
26/08/2022 06:00;11;0.8
26/08/2022 12:00;10;0.6
26/08/2022 18:00;9;0.5
27/08/2022 00:00;3;0.5
27/08/2022 06:00;5;0.4
27/08/2022 12:00;11;0.5
27/08/2022 18:00;14;0.6
28/08/2022 00:00;9;0.8
28/08/2022 06:00;11;0.7
28/08/2022 12:00;14;0.9
28/08/2022 18:00;15;1.3
29/08/2022 00:00;12;0.9
29/08/2022 06:00;9;0.6
29/08/2022 12:00;13;0.6
29/08/2022 18:00;13;0.8
30/08/2022 00:00;10;0.8
30/08/2022 06:00;11;0.7
30/08/2022 12:00;18;1.1
30/08/2022 18:00;16;1.4
31/08/2022 00:00;12;1.5
31/08/2022 06:00;9;1.1
31/08/2022 12:00;18;1.6
31/08/2022 18:00;10;1.8
